inicio_vigencia,unidad_monetaria,salario_minimo_general,albanileria,archivista,boticas,buldozer,cajero,cajista,camion_volteo,cantinero,carpintero_obra,carpintero_muebles,cepilladora,cocinero,colchones,mosaico,contador,yesero,fierrero,cortador_calzado,costurero_taller,costurero_domicilio,chofer_acomodador,chofer_camion,chofer_camioneta,chofer_gas,chofer_grua,draga,ebanista,electricista_instalaciones,electricista_autos,alectricista_motores,gondola,bodega,enfermero_titulo,enfermero_auxiliar,ferreterias,fogonero,gasolinero,herreria,hojalateria,hornero,jornalero,joyero_oficial,joyero_domicilio,laboratorios,linotipista,lubricador,maestro,manejador,maquinaria_agricola,maquina_fundicion,maquina_troquelado,maquina_madera,maquina_plastico,mecanico_fresador,mecanico_rectificadora,mecanico_autos,mecanico_tornero,mecanografo,moldero,montador_calzado,motorista,niquelado,peinador,perforista,pintor_autos,pintor_casas,planchador,plomero,prensa_offset,prensista,radiotecnico_electrico,recamarero,recepcionista,refaccionaria_autos,reparador_hogar,reportero,reportero_grafico,repostero,sastreria_domicilio,secretaria,soldador_autos,soldador_soplete,talabartero,tablajero,tapicero_autos,tapicero_muebles,taquimecanografo,trabajador_hogar,trabajador_social,traxcavo,vaquero,velador,vendedor_piso,zapatero
01/01/1966,viejos pesos,25,.,.,.,.,.,.,.,31,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,.,.,.,33,.,.,.,.,.,.,.,.,.,32.5,.,.,32.5,.,.,.,.,.,.,.,.,.,32,.,.,.,35,.,.,.,.,.,.,.,.,32.5,.,.,.,.,.,33,.,.,.,33,.,.,.,.,.,.,.,32.5,.,.,.,.,.,.,.,.,.,.,.
01/01/1967,viejos pesos,25,.,.,.,.,.,.,.,31,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,.,.,.,33,.,.,.,.,.,.,.,.,.,32.5,.,.,32.5,.,.,.,.,.,.,.,.,.,32,.,.,.,35,.,.,.,.,.,.,.,.,32.5,.,.,.,.,.,33,.,.,.,33,.,.,.,.,.,.,.,32.5,.,.,.,.,.,.,.,.,.,.,.
01/01/1968,viejos pesos,28.25,.,41.5,34,.,.,35.5,.,35,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,36.1,.,.,38.05,37.3,37.1,.,.,.,.,.,.,.,37.35,36.7,.,.,36.7,.,.,.,.,.,.,.,.,.,36.15,.,.,.,39.55,.,.,.,.,.,.,.,.,36.7,.,35.05,37.35,.,35.5,37.3,.,.,35,37.3,.,.,.,.,.,.,36.5,36.7,.,36.1,36.1,.,.,.,.,.,.,.,.
01/01/1969,viejos pesos,28.25,.,41.5,34,.,.,35.5,.,35,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,36.1,.,.,38.05,37.3,37.1,.,.,.,.,.,.,.,37.35,36.7,.,.,36.7,.,.,.,.,.,.,.,.,.,36.15,.,.,.,39.55,.,.,.,.,.,.,.,.,36.7,.,35.05,37.35,.,35.5,37.3,.,.,35,37.3,.,.,.,.,.,.,36.5,36.7,.,36.1,36.1,.,.,.,.,.,.,.,.
01/01/1970,viejos pesos,32,.,49.3,38.5,.,39.15,40.2,.,39.65,.,42.45,.,39.15,39.9,.,.,.,.,.,39.45,39.65,.,.,.,.,40.9,.,43.05,43.1,42.25,42.05,.,.,.,.,40.05,.,.,42.3,41.6,.,.,41.6,.,.,.,39.45,.,38,.,.,.,40.95,.,.,.,44.8,.,.,.,.,.,41.15,.,.,41.6,.,39.7,42.3,.,40.2,42.25,.,.,39.65,42.25,.,.,.,.,.,.,41.35,41.6,.,40.9,40.9,.,.,.,.,.,.,.,39.3
01/01/1971,viejos pesos,32,.,49.3,38.5,.,39.15,40.2,.,39.65,.,42.45,.,39.15,39.9,.,.,.,.,.,39.45,39.65,.,.,.,.,40.9,.,43.05,43.1,42.25,42.05,.,.,.,.,40.05,.,.,42.3,41.6,.,.,41.6,.,.,.,39.45,.,38,.,.,.,40.95,.,.,.,44.8,.,.,.,.,.,41.15,.,.,41.6,.,39.7,42.3,.,40.2,42.25,.,.,39.65,42.25,.,.,.,.,.,.,41.35,41.6,.,40.9,40.9,.,.,.,.,.,.,.,39.3
01/01/1972,viejos pesos,38,.,58.15,45.7,.,46.5,47.75,.,47.1,.,50.4,.,58.6,47.4,.,54.15,.,.,.,46.85,47.1,51.7,.,.,.,48.55,.,51.1,51.2,50.15,49.95,.,.,68.4,51.7,47.55,.,.,50.25,49.4,.,.,49.4,55.3,50.5,.,46.85,.,45.6,.,.,.,48.65,.,.,.,53.2,.,48.05,.,.,.,48.85,48.45,.,49.4,.,47.15,50.25,57.4,47.75,50.15,.,.,47.1,50.15,.,.,.,57.8,.,.,49.1,49.4,.,48.55,48.55,52.1,.,.,.,.,.,.,46.65
01/01/1973,viejos pesos,38,.,58.15,45.7,.,46.5,47.75,.,47.1,.,50.4,.,58.6,47.4,.,54.15,.,.,.,46.85,47.1,51.7,.,.,.,48.55,.,51.1,51.2,50.15,49.95,.,.,68.4,51.7,47.55,.,.,50.25,49.4,.,.,49.4,55.35,50.5,.,46.85,.,45.6,.,.,.,48.65,.,.,.,53.2,.,48.05,.,.,.,48.85,48.45,.,49.4,.,47.15,50.25,57.4,47.75,50.15,.,.,47.1,50.15,.,.,.,57.8,.,.,49.1,49.4,.,48.55,48.55,52.1,.,.,.,.,.,.,46.65
17/09/1973,viejos pesos,44.85,.,72.4,53.95,.,54.85,56.35,.,55.6,.,59.45,.,69.15,55.95,.,63.9,.,.,.,55.3,55.6,61,.,.,.,57.3,.,60.3,60.4,59.2,58.95,.,.,80.7,61,56.1,.,.,59.3,58.3,.,.,58.3,65.3,59.6,.,55.3,.,53.8,.,.,.,57.4,.,.,.,62.8,.,56.7,.,.,.,57.65,57.15,.,58.3,.,55.65,59.3,67.75,56.35,59.2,.,.,55.6,59.2,.,.,.,68.2,.,.,57.95,58.3,.,57.3,57.3,61.5,.,.,.,.,.,.,55.05
01/01/1974,viejos pesos,52,75.8,72.4,66.1,.,67.6,71.7,73.2,69.1,70.6,74.7,.,76.9,69.5,73.9,72.8,70.2,72.8,.,67.2,69.1,70.6,.,.,.,72.1,.,75.8,74.3,75,72.1,.,68.3,85.8,70.6,69.8,72.4,.,73.2,74.7,.,.,70.6,70.6,69.5,78.7,67.6,80.2,65,.,.,.,72.1,.,.,.,78.7,.,67.2,.,.,.,71.7,70.6,.,73.2,72.1,67.6,72.8,75.8,70.6,75.4,69.5,67.6,68.7,71.7,.,.,.,76.1,.,.,75,70.6,70.6,72.1,72.1,70.9,.,83.9,.,.,.,69.1,68
08/10/1974,viejos pesos,63.4,92.5,88.3,80.6,.,82.5,87.5,89.3,84.3,86.1,91.1,.,93.8,84.8,90.1,88.8,85.6,88.8,.,82,84.3,86.1,.,.,.,88,.,92.5,90.6,91.5,88,.,83.3,104.7,86.1,85.1,88.3,.,89.3,91.1,.,.,86.1,90.1,84.8,96,82.5,97.8,79.3,.,.,.,88,.,.,.,96,.,82,.,.,.,87.5,86.1,.,89.3,88,82.5,88.8,92.5,86.1,92,80,82.5,83.8,87.5,.,.,.,92.8,.,.,91.5,86.1,86.1,88,88,86.5,.,102.3,.,.,.,84.3,83
01/01/1975,viejos pesos,63.4,92.5,88.3,80.6,.,82.5,87.5,89.3,84.3,86.1,91.1,.,93.8,84.8,90.1,88.8,85.6,88.8,.,82,84.3,86.1,.,.,.,88,.,92.5,90.6,91.5,88,.,83.3,104.7,86.1,85.1,88.3,.,89.3,91.1,.,.,86.1,90.1,84.8,96,82.5,97.8,79.3,.,.,.,88,.,.,.,96,.,82,.,.,.,87.5,86.1,.,89.3,88,82.5,88.8,92.5,86.1,92,80,82.5,83.8,87.5,.,.,.,92.8,.,.,91.5,86.1,86.1,88,88,86.5,.,102.3,.,.,.,84.3,83
01/01/1976,viejos pesos,78.6,114.8,109.4,99.9,.,102,108.4,110.5,104.1,106.8,112.6,108.9,116.4,105.2,112.1,110.5,106.2,110.5,103,101.5,104.6,106.8,118.5,.,113.2,108.9,.,114.2,112.1,113.2,108.9,99.3,103.6,129.7,106.8,105.7,109.4,.,110.5,112.6,115.3,.,106.8,111.6,105.2,119,102.5,121.2,98.3,.,.,103.6,109.4,101.5,115.8,111.6,119,111.6,102,108.9,103,.,108.4,106.8,.,110.5,109.4,102,110,114.8,106.8,114.2,109.3,102.5,103.6,108.4,.,.,114.8,115.3,.,.,113.2,106.8,106.8,108.9,108.9,107.3,.,127,.,.,101.5,104.6,103
01/10/1976,viejos pesos,96.7,141.2,134.6,122.8,.,125.5,133.3,136,128.1,131.4,138.6,134,143.2,129.4,137.9,136,130.7,136,126.8,124.8,128.7,131.4,145.8,.,139.2,134,.,140.5,137.9,139.2,134,122.2,127.4,159.6,131.4,130.1,134.6,.,136,138.6,141.9,.,131.4,137.3,129.4,146.4,126.1,149.1,120.9,.,.,127.4,134.6,124.8,142.5,137.3,146.4,137.3,125.5,134,126.8,.,133.3,131.4,.,136,134.6,125.5,135.3,141.2,131.4,140.5,122.2,126.1,127.4,133.3,.,.,141.2,141.9,.,.,139.2,131.4,131.4,134,134,132,.,156.3,.,.,124.8,128.7,126.8
01/01/1977,viejos pesos,106.4,155.4,148.2,135.2,.,138.1,146.7,149.6,140.9,144.5,152.5,147.4,157.5,142.4,151.8,149.6,143.8,149.6,139.5,137.3,141.7,144.5,160.4,.,153.2,147.4,.,154.6,151.8,153.2,147.4,134.4,140.2,175.6,144.5,143.1,148.2,137.3,149.6,152.5,156.1,.,144.5,151,142.4,161.1,138.8,164,133,145.2,.,140.2,148.2,137.3,156.8,151,161.1,151,138.1,147.4,139.5,.,146.7,144.5,.,149.6,148.2,138.1,148.9,155.4,144.5,154.6,134.4,138.3,140.2,146.7,.,.,155.4,156.1,.,.,153.2,144.5,144.5,147.4,147.4,145.3,.,172,.,.,137.3,141.7,139.5
