clave_agee,nombre_agee,clave_agem,nombre_agem,zona_salario
1,AGUASCALIENTES,1,Aguascalientes,Resto del País
1,AGUASCALIENTES,2,Asientos,Resto del País
1,AGUASCALIENTES,3,Calvillo,Resto del País
1,AGUASCALIENTES,4,Cosío,Resto del País
1,AGUASCALIENTES,5,Jesús María,Resto del País
1,AGUASCALIENTES,6,Pabellón de Arteaga,Resto del País
1,AGUASCALIENTES,7,Rincón de Romos,Resto del País
1,AGUASCALIENTES,8,San José de Gracia,Resto del País
1,AGUASCALIENTES,9,Tepezalá,Resto del País
1,AGUASCALIENTES,10,El Llano,Resto del País
1,AGUASCALIENTES,11,San Francisco de los Romo,Resto del País
2,BAJA CALIFORNIA,1,Ensenada,Zona Libre de la Frontera Norte
2,BAJA CALIFORNIA,2,Mexicali,Zona Libre de la Frontera Norte
2,BAJA CALIFORNIA,3,Tecate,Zona Libre de la Frontera Norte
2,BAJA CALIFORNIA,4,Tijuana,Zona Libre de la Frontera Norte
2,BAJA CALIFORNIA,5,Playas de Rosarito,Zona Libre de la Frontera Norte
2,BAJA CALIFORNIA,6,San Quíntin,Zona Libre de la Frontera Norte
2,BAJA CALIFORNIA,7,San Felipe,Zona Libre de la Frontera Norte
3,BAJA CALIFORNIA SUR,1,Comondú,Resto del País
3,BAJA CALIFORNIA SUR,2,Mulegé,Resto del País
3,BAJA CALIFORNIA SUR,3,La Paz,Resto del País
3,BAJA CALIFORNIA SUR,8,Los Cabos,Resto del País
3,BAJA CALIFORNIA SUR,9,Loreto,Resto del País
4,CAMPECHE,1,Calkiní,Resto del País
4,CAMPECHE,2,Campeche,Resto del País
4,CAMPECHE,3,Carmen,Resto del País
4,CAMPECHE,4,Champotón,Resto del País
4,CAMPECHE,5,Hecelchakán,Resto del País
4,CAMPECHE,6,Hopelchén,Resto del País
4,CAMPECHE,7,Palizada,Resto del País
4,CAMPECHE,8,Tenabo,Resto del País
4,CAMPECHE,9,Escárcega,Resto del País
4,CAMPECHE,10,Calakmul,Resto del País
4,CAMPECHE,11,Candelaria,Resto del País
4,CAMPECHE,12,Seybaplaya,Resto del País
4,CAMPECHE,,Dzitbalché,Resto del País
5, COAHUILA DE ZARAGOZA,1,Abasolo,Resto del País
5, COAHUILA DE ZARAGOZA,2,Acuña,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,3,Allende,Resto del País
5, COAHUILA DE ZARAGOZA,4,Arteaga,Resto del País
5, COAHUILA DE ZARAGOZA,5,Candela,Resto del País
5, COAHUILA DE ZARAGOZA,6,Castaños,Resto del País
5, COAHUILA DE ZARAGOZA,7,Cuatro Ciénegas,Resto del País
5, COAHUILA DE ZARAGOZA,8,Escobedo,Resto del País
5, COAHUILA DE ZARAGOZA,9,Francisco I. Madero,Resto del País
5, COAHUILA DE ZARAGOZA,10,Frontera,Resto del País
5, COAHUILA DE ZARAGOZA,11,General Cepeda,Resto del País
5, COAHUILA DE ZARAGOZA,12,Guerrero,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,13,Hidalgo,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,14,Jiménez,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,15,Juárez,Resto del País
5, COAHUILA DE ZARAGOZA,16,Lamadrid,Resto del País
5, COAHUILA DE ZARAGOZA,17,Matamoros,Resto del País
5, COAHUILA DE ZARAGOZA,18,Monclova,Resto del País
5, COAHUILA DE ZARAGOZA,19,Morelos,Resto del País
5, COAHUILA DE ZARAGOZA,20,Múzquiz,Resto del País
5, COAHUILA DE ZARAGOZA,21,Nadadores,Resto del País
5, COAHUILA DE ZARAGOZA,22,Nava,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,23,Ocampo,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,24,Parras,Resto del País
5, COAHUILA DE ZARAGOZA,25,Piedras Negras,Zona Libre de la Frontera Norte
5, COAHUILA DE ZARAGOZA,26,Progreso,Resto del País
5, COAHUILA DE ZARAGOZA,27,Ramos Arizpe,Resto del País
5, COAHUILA DE ZARAGOZA,28,Sabinas,Resto del País
5, COAHUILA DE ZARAGOZA,29,Sacramento,Resto del País
5, COAHUILA DE ZARAGOZA,30,Saltillo,Resto del País
5, COAHUILA DE ZARAGOZA,31,San Buenaventura,Resto del País
5, COAHUILA DE ZARAGOZA,32,San Juan de Sabinas,Resto del País
5, COAHUILA DE ZARAGOZA,33,San Pedro,Resto del País
5, COAHUILA DE ZARAGOZA,34,Sierra Mojada,Resto del País
5, COAHUILA DE ZARAGOZA,35,Torreón,Resto del País
5, COAHUILA DE ZARAGOZA,36,Viesca,Resto del País
5, COAHUILA DE ZARAGOZA,37,Villa Unión,Resto del País
5, COAHUILA DE ZARAGOZA,38,Zaragoza,Zona Libre de la Frontera Norte
6,COLIMA,1,Armería,Resto del País
6,COLIMA,2,Colima,Resto del País
6,COLIMA,3,Comala,Resto del País
6,COLIMA,4,Coquimatlán,Resto del País
6,COLIMA,5,Cuauhtémoc,Resto del País
